text;class
Wzloty i upadki, pożyczone trzeba oddać;metal
Do tego jej już nie ma, samemu więc pod górkę;metal
DCrew już ostatnie szlify słabym zamknie usta;metal
Weź głośniej to ustaw, niech dudni na blokach;metal
Tylko i wyłącznie, rap co sieka tak jak koka;metal
Chcę mieć jeszcze więcej, odłożyć dużo siana;metal
Się nie martwić, że mnie zamkną psy z samego rana;metal
Nawet jak mnie nie ma działka leci do kieszeni;metal
Wracam po przerwie, wszystko się do siebie klei;metal
Chcę widzieć je na ręku, te monety, nie na kredyt;metal
Odrabiać, długi spłacać, w ścianę wbite zęby;metal
Zysk na wyciągniecie ręki, wzroku nie odwracam;metal
Ujebana złota passa, nie dali szansy uciec;metal
Towarzyszyło uczucie jak złe fatum, że pod górę;metal
Nie idę za tłumem, łapię chmurę gdy stres wraca;metal
Aktualna stara prawda (ty) z nieba nic nie spada;metal
Za stracone chude lata, rwać od życia haracz;metal
Co przyniesie jutro jak loteria cisza martwa;metal
Na maksa kombinacja, inni mają ścieżkę łatwą;metal
Ja będę bogaty, albo umrę lub mnie zamkną;metal
Chcę mieć jeszcze więcej, odłożyć dużo siana;metal
Się nie martwić, że mnie zamkną psy z samego rana;metal
Nawet jak mnie nie ma działka leci do kieszeni;metal
Wracam po przerwie, wszystko się do siebie klei;metal
Na dno czary z onyksu;metal
Wlali bunt i gniew;metal
I gniew, i gniew, i gniew;metal
W echu magicznych zaklęć;metal
Nagle cicho i bez powiewu;metal
Rozchyliły się wielkie bramy żądz;metal
Bramy żądz, bramy żądz, bramy żądz;metal
Chcesz zapłaty swej i szydzić z jego dusz;metal
Władztwo Twoje nie zna granic;metal
Idziesz naga wśród milczenia;metal
Jeden Czarny Ptak;metal
Jeden Czarny Ptak;metal
Jeden Czarny Ptak;metal
Jeden Czarny Ptak;metal
Z ruin świętych miejsc powstał grób;metal
Na nim krzyż i płacz;metal
I płacz, i płacz, i płacz;metal
W szkliste oko Jahwe wbiłaś nóż;metal
Z Twego serca grzechy płyną;metal
Otwierając ziemskie bramy żądz;metal
Bramy żądz, bramy żądz, bramy żądz;metal
Jeden Czarny Ptak;metal
Jeden Czarny Ptak;metal
Jeden Czarny Ptak;metal
Jeden Czarny Ptak;metal
Zachowałaś piętno;metal
- Skarb lepszy niż niebiański pęk;metal
Najcnotliwszych kłamstw;metal
Zachowałaś piętno;metal
- Skarb lepszy niż niebiański pęk;metal
Najcnotliwszych kłamstw;metal
Dwanaście złotych może zabić miłość w człowieku;metal
Stoisz samotna przy małej budce koło dworca PKS-u;metal
Pytasz czy czuje dreszcz i bicie serca twego;metal
Dziewczyno z kebabem, proszę nie otwieraj ust;metal
Dziewczyno z kebabem, sosy kapią ci na biust;metal
Dziewczyno z kebabem, tasak wbijasz w serce mi;metal
Dziewczyno z kebabem, wyjdź stąd ! Tam są drzwi;metal
Dwie noce nie spałem, nie to, że tęskniłem;metal
Całe dwie noce mieszkanie wietrzyłem;metal
Podwójne mięso, sos dobrze wymieszany;metal
Wciąż widzę cie jak kroczysz ulicami;metal
Z cebulą między twoimi zębami;metal
Na policzku keczup, włosy w baraninie;metal
To już koniec opowieści o kebabowej dziewczynie;metal
Pytasz czy czuje dreszcz i bicie serca twego;metal
Dziewczyno z kebabem, proszę nie otwieraj ust;metal
Dziewczyno z kebabem, sosy kapią ci na biust;metal
Dziewczyno z kebabem, tasak wbijasz w serce mi;metal
Dziewczyno z kebabem, wyjdź stąd ! Tam są drzwi;metal
Dziewczyno ma piękna jak w snach;metal
Wciąż czuje kebab, wciąż czuje kebab;metal
Nie chciałem brać, chciała mi dać;metal
Kawałek nieba, kawałek nieba;metal
HIPO-PATO HIPO-PATO;metal
HIPO-PATO HIPO-PATO;metal
HipoPato - w sumie HP, łapiesz?;metal
I wiesz kto trzyma przy życiu to miasto na mapie;metal
Puszczamy chmury jak w komiksach - bez cenzury;metal
Raperzy dalej wczuci na słowa krytyki;metal
Tak się kończą zwrotki bez grama gramatyki;metal
I paradoksalnie zaśniesz w nim na wieki wieków;metal
Jestem Delekta, jakoś mi się upiecze;metal
Bezczelny w tekstach przykładem nie świecę bo;metal
Nie wiem czego chcę ale wiem czego nie chcę ziom;metal
HIPO-PATO, a nie pierdolone hity lata;metal
Pod bity latam jak w Barcelonie techniki atak;metal
Dbam o równowagę, chory na treść i chory na formę;metal
W rapie nie mam przekazu, kurwa, to w pytę nara;metal
Tłusty bit jak Akebono, czas tym Macklemorom;metal
Skopać dupę, całkiem sporo gówien nam pierdolą;metal
Ich riposty są tak cięte, kiedyś powiedziałem to;metal
Penektomia - mają chuja do gadania wciąż;metal
HIPO-PATO, to PATO-HIPO, pij, to bania;metal
Brak miejsca tu dla bogów, jebana mitomania;metal
Mów ile chcesz, lecz twa gadka chuja warta;metal
My prawie wszystkie linie to stryczek;metal
I znikasz jak Malezyjskie linie lotnicze;metal
Nie lubię partaczy, chłopaku, nie łapiesz;metal
Ich tępych słuchaczy, więc wack'ów wyłapie;metal
Rap tu wiele znaczy bez trapu ty capie;metal
A celem zaznaczyć ten Kraków na mapie;metal
Skoro ta scena jest skora na ewolucję to ziom;metal
Sporo pozmienia, jest pora na rewolucję, bo to;metal
Terapia Hipo, nie hippoterapia - proste;metal
Patogeny w powietrzu pozarażają Polskę;metal
Źle mówisz o Krakowie, oto kontra, wiej!;metal
Hipo-Pato ziomuś - czytaj All-Star Game;metal
Mamy techniczny kombajn, pora na żniwa;metal
Gramy to lepiej niż reszta tam, kminisz?;metal
Gra pod publiczkę ziomów, pas tu z góry;metal
Bo twój rap to pierdolony no look pass w trybuny;metal
Jeden strzał, blau, kończę na dobre z tobą;metal
I mam problem z głowy, ty masz problem z głową;metal
Pato-Hipo, marne grajki mają pecha, sapiesz?;metal
Chciałeś nas dogonić? Klękaj kurwa, teraz pacierz;metal
Niech się gonią cwele osiągamy broniom cele;metal
Mieszane uczucie, we łbie ciężka boruta;metal
Widzę czarny dym z kominów, chyba wybrali śmierć;metal
Gdybym kładł takie wersy to wolałbym kłaść panele;metal
Błazny, chcą ze mną waśni, wkurwieni łapią gula;metal
Masa padaki a wack'i te tracki tu pchają;metal
Weź korki albo zacznij od naszych eMPe-trójek;metal
Mamy zabawę z ziomkami gramy w chuja z raperami;metal
Piszę zwrotki na kiblu, a słyszę sranie gości;metal
To dobre, bo nomen omen im tu połamie kości;metal
Twoja twarz przyciąga moje pięści, siadło grubo;metal
Masz prawo zachować ciążenie, Carlos Newton;metal
Narko z wódą walę tu do rana na psychice;metal
Zwrota taka, że wybucha łeb - plama na suficie;metal
Geje płaczą, bo każdy mój pocisk - penetrator.;metal
Ból zatopiony w oceanie porcelanowych kul;metal
Wypełnionych pomysłami, tak jak pszczołami ul;metal
Wypierdzielony na kanapie niczym król;metal
Leżę lekki jak kurze pierze;metal
Cisza niczym w operze;metal
Patrze, zerkam i oczom nie wierze;metal
Późnym popołudniem biba słów na papierze;metal
Szczerze, trochę mi zakłócają spokój;metal
Kurzą alfabetycznie jakby w amoku;metal
Późnym popołudniem aż mi osiwiał pokój;metal
Co za siekiera łza się kręci w oku;metal
Rozmowy między wyrazami chyba w toku;metal
Mam rozproszone myśli niczym na jawie;metal
A ona jak przestraszona popija kawę;metal
Gdzieś lukając nie mieszając się w zabawę;metal
Teoretycznie przegrzeczna dziewczynka;metal
Figlara ledwo się trzyma na nogach;metal
Pozawieszana, jak kukiełka na linkach;metal
Twarz pobladła niczym bulimka;metal
Oczka ukośne - to chyba Chinka;metal
Przyozdobiona duperelami jak choinka;metal
Późnym popołudniem często się za nimi chowa;metal
Pozasłaniana przez trzy słowa;metal
Późnym Popołudniem Częstochowa;metal
Późnym Popołudniem Częstochowa;metal
Późnym popołudniem siedzę i piszę;metal
Biba wyrazów zakłóca ciszę;metal
Ściany pękają gdzieniegdzie niczym klisze;metal
Czy to paranormalne, czy to śni się?;metal
Późnym popołudniem idę, idę;metal
Noga za nogą, jak wdech i wydech;metal
Idę swoją drogą, przez Atlantydę;metal
Idę i widzę piękno i ohydę;metal
Każdy incydent jak rtęć umyka;metal
W momencie, gdy go dotykam;metal
Znika śnieg, cień, pęknięcie chodnika;metal
Idę i zdjęcie za zdjęciem pstrykam;metal
Temu miastu bez ryzyka;metal
Pełen zastój, stój!;metal
Poczekaj po czym poczuj nastrój;metal
Galaktyka i ziarenko piasku;metal
Nie ma nas tu poskładanych z kontrastów;metal
Czerń onyksu, biel alabastru;metal
Cóż teraz już bez balastu;metal
Idę, idę, trzymam czas w potrzasku;metal
Późnym popołudniem idę i myślę;metal
Ślepy na kłótnie, myśli i w umyśle;metal
Śle uśmiech, muśnie cię;metal
Nie uśniesz, już wiesz;metal
Nie potrzebuję radia, i nie chcę telewizji;metal
Bo dają mi świat zbyt piękny - pusty;metal
Nie muszę tego mieć i nie muszę tego chcieć;metal
Ten konsumpcyjny trend nie obowiązuje mnie;metal
Presja otoczenia - a co to kurwa jest?!;metal
Przy aprobacie innych obsesją staje się;metal
Musisz, musisz to mieć i ciągle jeszcze więcej!;metal
Kim, kim, kim kurwa jesteś;metal
By mówić mi jak mam żyć?!;metal
Każdego dnia budzi się we mnie świadomość;metal
Że mogę być taki jak ty;metal
Twarz naznaczona nieszczerym uśmiechem;metal
To twój firmowy znak - o tak!;metal
Proponujesz mi ten swój pozerski styl;metal
I mówisz co jest okej, a co już jest passe;metal
Jebany bank cierpliwości, próżności;metal
Niezdarny trybik a napędza koniunkturę!;metal
Córko weź perły Ziemi;metal
Klejnoty zwierzęcych praw;metal
Mają świętą moc Sheol;metal
Wiele lat - dla mnie chwil - byłem jak grom;metal
Ktoś kłamie wciąż i ssie;metal
Ssie, ssie, ssie, ssie;metal
Za mną car, loch i potop;metal
Mijałem słońca i trwam;metal
- Dawna bestia, smok;metal
Demon siał, mielił;metal
Zapomniał król, kościół;metal
Ktoś kłamie wciąż;metal
Ktoś kłamie wciąż i ssie;metal
Ssie, ssie, ssie, ssie;metal
Ciepły czarci kult;metal
Zejdź w dół, wstąp do piekła;metal
Tam nikt nie musi, tak jak ty;metal
W snach kląć a w życiu ślinić się!;metal
Tam nikt nie musi, tak jak ty;metal
W snach kląć a w życiu ślinić się!;metal
To jest wojna, skurwysyny!;metal
Umarli powstaną w morzu krwi!;metal
Umarli powstaną w morzu krwi!;metal
Wyobraź sobie, że nie ma nieba, nie ma piekła;metal
Odkąd sięgam pamięcią;metal
Ten świat trawiła wojna;metal
Odkąd sięgam pamięcią;metal
Trwa ten zbiorowy obłęd;metal
Ten świat od wieków żywi się krwią;metal
Tonie we krwi, dotknięty zarazą;metal
Dotknięty zarazą. Towarzyszy mu nikczemna niewola;metal
W cieniu Krzyża- on towarzyszy wiecznie nam;metal
Co trzeba zrobić by wstrząsnąć światem?;metal
Gdzie tu jest sens naszego istnienia?;metal
Usłysz to! Zobacz to!;metal
Gdzie jest Twój bóg?! x8;metal
Szukamy wciąż zbawienia w ramionach Boga;metal
W jego imieniu pozbawiamy życia - Umrzesz!;metal
Wszystkich niewiernych ukarze ręka Boga;metal
Raj dla nielicznych - utopia, iluzja, fałsz;metal
Co trzeba zrobić by wstrząsnąć światem?;metal
Gdzie tu jest sens naszego istnienia?;metal
Usłysz to! Zobacz to!;metal
Gdzie jest Twój bóg?! x8;metal
Bez nadziei wybawienia;metal
Poderżniemy, oprawimy piękny kawał baraniny;metal
Wpierw powiesimy cię na haku. potem. cóż;metal
Pokroimy! Podzielimy czysty kawał wołowiny;metal
Nowe mięsko na ludzkim ołtarzu płonie już;metal
Nie ma boga, wybawienia;metal
To piekielnie wszystko zmienia;metal
Życie zjada życie - trzeba zabić należycie;metal
Humanitarny odruch każdy w sercu przecież ma!;metal
Porąbiemy, podzielimy;metal
Pod niebiosy wykrwawimy mięsko;metal
Na ołtarzu życia ludzi rzeźnia trwa;metal
Na ucztę baranka zaniesiemy zaraz go;metal
Zgładzi grzechy, żmije winy;metal
Nie chcemy tu wieprzowiny;metal
Nasz baranek cały ranek cieszył nam oko;metal
Nie ma czasu znieczulenia;metal
To dla Boga i Zbawienia;metal
Koszerny w naszej rzeźni nowy potok z krów;metal
Nie ma Boga i Zbawienia;metal
To piekielnie wszystko zmienia!;metal
Kolejny milion zginie w imię pustych słów;metal
PARODiabła gani winy, my się tutaj nie boimy!;metal
W zabijaniu wyszkolimy oprawcy Pana;metal
Widzę to co widzę;metal
Niewyobrażalnie wstydzę;metal
W Imperium Naczelnego ubój nieprzerwanie trwa;metal
To właśnie my - naczelni oprawiacze;metal
W sumieniach swych - gorliwi odprawiacze;metal
To właśnie my - naczelni;metal
I to my nie mamy sumienia;metal
Nie ma czasu, znieczulenia;metal
To dla Boga i zbawienia;metal
Koszerny w naszej rzeźni nowy potok z krów;metal
Nie ma Boga i zbawienia;metal
To piekielnie wszystko zmienia;metal
Kolejny milion zginie w imię pustych słów!;metal
Kiedy rodzisz się nawet góry toną we krwi;metal
Bredząc trzy po trzy powiedziałeś, że Ty;metal
Jesteś Władcą Snów - uwierzyli bez słów;metal
Krok po kroku ich opętałeś;metal
Kat oszalał brodząc we krwi;metal
Tak twój lud bezmyślnie pogrążał swój kraj;metal
Wierząc ślepo w Ciebie szedł dalej próbując;metal
Odnaleźć swój Raj;metal
Bredząc trzy po trzy przypomniałeś, że Ty;metal
Jesteś Władcą Snów - wierzyli bez słów;metal
Poszli w ogień za tobą - zginęli przed!;metal
Powiększając armię cieni;metal
Umieram - gdy widzę jak błądzimy we mgle;metal
Umieram - gdy czuję, że trwamy we śnie;metal
Umieram - bo wiem, że Ty nie rozumiesz, że ja;metal
Umieram - gdy widzę jak Ty;metal
Żyli w zgodzie, spokoju - swojego Boga już mieli;metal
Bredząc trzy po trzy oznajmiłeś, że Ty;metal
Dasz im Władcę Snów;metal
Nie pojęli twych słów;metal
Więc zginęły miliony - ich słowa brzmiały dziwnie;metal
Ten sam Bóg nosił inne imię!;metal
Umieram - gdy widzę jak błądzimy we mgle;metal
Umieram - gdy czuję, że trwamy we śnie;metal
Umieram - bo wiem, że Ty nie rozumiesz, że ja;metal
Umieram - gdy widzę jak wciąż;metal
Fanatyzm jest przekleństwem narodów;metal
Nic nie tłumaczy morderstwa!;metal
Umieram - gdy widzę jak błądzimy we mgle;metal
Umieram - gdy czuję, że trwamy we śnie;metal
Umieram - bo wiem, że Ty nie rozumiesz, że ja;metal
Umieram - gdy widzę jak Ty;metal
Kiedy umierasz - spokój gasi ich łzy;metal
Lecz z odejściem twoim wkrótce nadchodzą złe sny;metal
Koniec prawie zawsze jest początkiem;metal
Bredząc trzy po trzy wtedy zjawiasz się ty;metal
Jesteś Władcą Snów - zawsze idą bez słów!;metal
I znów zginą miliony gdy wraz z dziećmi swymi;metal
Zmienisz inny kraj w krainę cieni;metal
Umieram - gdy widzę jak błądzimy we mgle;metal
Umieram - gdy czuję, że trwamy we śnie;metal
Umieram - bo wiem, że Ty nie rozumiesz, że ja;metal
Umieram - wciąż widząc to;metal
Wszystkie kurwy mówią dzisiaj że mnie znają;metal
Morda suko bo nie będzie Mikołaja;metal
Zoba drania, jak wiezie pełne torby;metal
Jedyne co dostaniesz, to chamie kociej mordy;metal
Chuj Cie moje nazwisko;metal
Chuj Cie obchodzi mój streetcode;metal
Chuj Cie obchodzi czy ona robi deep throat;metal
Jade se beast mode;metal
Nie jestem ćpunem;metal
I nie jestem hazardzistą;metal
Chuj Cie obchodzi czy mamy tam koks;metal
Chuj Cie obchodzi jaki mamy tam lot;metal
Chuj Cie obchodzi gdzie śpie;metal
Kto ma wiedzieć wie;metal
Na obiedzie jestem znowu gdzieś;metal
I chuj Cie to obchodzi, co tam będę jeść;metal
Kocia morda (no ale mordo kurwa, o co Ci chodzi?);metal
Się nie produkuj bo i tak nigdy nie poznasz;metal
Wszystkie kurwy mówią dzisiaj że mnie znają;metal
Morda suko bo nie będzie Mikołaja;metal
Zoba drania, jak wiezie pełne torby;metal
Jedyne co dostaniesz, to chamie kociej mordy;metal
Chuj mnie obchodzi, kto tam wczoraj sypał;metal
Twarde coś jak tytan;metal
Nie interesuj się czy ona połyka;metal
Nie interesuj się czy trzeźwy nagrywam;metal
Komu zajebałem bit, i gdzie materiał wydam;metal
Surowa czy pieczona ryba;metal
I kiedy wjedzie "Dotknij Grzyba 2";metal
Samotna w wieży zamknięta;metal
Z głodu przestała już jeść;metal
Między udami, gdzie kiedyś wiatr hulał;metal
Rozciąga się pajęcza sieć;metal
Minęło dokładnie lat pięćdziesiąt parę;metal
A może nawet i mniej;metal
I choć się niewielu starało;metal
To żaden nie uwolnił jej;metal
Wierzy głęboko, że zobaczy w wieży;metal
Tego, o którym wciąż śni;metal
Wie, że się rzuci na niego jak zwierzę;metal
Gdy ten przerwie pajęczą nić;metal
Dziwne stękanie się nagle rozlega;metal
Czyżby to ktoś wspinał się?;metal
Przez okno księżniczka dostrzega;metal
Konia co rży, czy tam rżnie;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
To był koń na białym rycerzu;metal
Na białym rycerzu był koń;metal
Ten jeden krok dzieli cię od snu...;metal
Ten jeden krok... droga w dół...;metal
To twojej duszy głos...;metal
Widzę mrok, to płonie nowy ląd...;metal
Tylko wiatr - posłaniec KOŃCA...;metal
Czekając na lot do nieba...;metal
Zbierając okruchy chleba...;metal
Stoisz bezradnie patrząc w mur...;metal
Strach... stary druh...;metal
Rozrywa twój świat... ugina ci kark...;metal
Przegrałeś... znów... masz już dość...;metal
Do końca życia, lecz to... nie potrwa dłużej...;metal
Gdy zrobisz krok... droga w dół...;metal
To Twojej duszy głos...;metal
Widzę mrok, to płonie nowy lont...;metal
Teraz wiatr gra REQUIEM KOŃCA...;metal
Czekając na lot do nieba...;metal
Zbierając okruchy chleba...;metal
Stoisz bezradnie patrząc w mur...;metal
Za którym nic już nie ma...;metal
A kiedy wylecisz z nieba...;metal
Stacja końcowa - ziemia;metal
Twardych kamieni głośny...;metal
TO NIE SEN NA DNIE - TO ICH KRZYK!!!;metal
Widzę lot... KONIEC... CIEMNO!!!;metal
Słyszę krzyk - WSZYSTKO JEDNO!;metal
Jeden krok - POCZĄTEK KOŃCA...;metal
TO KAMIENIE NA DNIE! TO ICH KRZYK!!!;metal
Czekając na lot do nieba...;metal
Zbierając okruchy chleba...;metal
Stoisz bezradnie patrząc w mur...;metal
Za którym nic już nie ma...;metal
A kiedy wylecisz z nieba...;metal
Stacja końcowa - ziemia;metal
Twardych kamieni głośny...;metal
Przegrałeś... strach... stary druh...;metal
Rozerwie ci świat! Rozerwie ci duszę!;metal
Gdy zrobisz krok... droga w dół...;metal
Twojego strachu głos...;metal
Widzę mrok... To płonie Nowy Jork...;metal
Może wiatr... Posłaniec KOŃCA...;metal
Czekając na lot do nieba...;metal
Zbierając okruchy chleba...;metal
Stoisz bezradnie patrząc w mur...;metal
Za którym nic już nie ma...;metal
A kiedy wylecisz z nieba...;metal
Stacja końcowa - ziemia!;metal
Twardych kamieni głośny...;metal
TO NIE SEN NA DNIE - TO ICH KRZYK!!!;metal
Widzę lot... KONIEC... CIEMNO!!!;metal
Słyszę krzyk - wszystko jedno...;metal
Jeden krok - POCZĄTEK KOŃCA...;metal
TO KAMIENIE NA DNIE! TO ICH KRZYK!!!;metal
Czekając na lot do nieba...;metal
Zbierając okruchy chleba...;metal
Stoisz bezradnie patrząc w mur...;metal
Za którym nic już nie ma...;metal
A kiedy wylecisz z nieba...;metal
Stacja końcowa - ziemia!;metal
Twardych kamieni głośny krzyk!;metal
Może wiatr przerazi cię... ZATRZYMA CIĘ..;metal
Surowa jest kora, która obleka ludzki umysł;metal
Porasta coraz gęściej rozpacz bezdomności duszy;metal
Gałęzie suche zaczęły kruszyć się bezwiednie;metal
I mimo że tu jesteś, to znowu nie ma ciebie;metal
Świat lubi nas upadlać- sami się w nim upadlamy;metal
Pakuję sobie w głowę chorobę, co psuje liście;metal
Przebierając w myślach, kiedy z tego wyrosnę;metal
To nie takie proste, bo w mroku przyzwyczajeń;metal
Wierzbowe wici rozkruszają najtwardszą skałę;metal
Gruba tafla lodu a pod spodem tylko otchłań;metal
Z perspektywy olszyn tak człowiek wygląda;metal
Las na granicy światów rozciąga swe korzenie;metal
Ziemia i woda jak ludzkie szczęście, zapomnienie;metal
Mój Boże, mój Diable, patrz tam gdzie ciemno;metal
Król Olch ma córki, chcą bawić się ze mną;metal
Leśny Pan, co go wrony skubią w skrzydła;metal
Odpowie mi dziś echem i za swoje córy wyda;metal
Zacznie żreć od środka, bo tak bardziej boli;metal
I zapłaczą wierzby, gdy z ich cienkich warg;metal
Wśród ciemności światło zamienia się w kochanka;metal
Pośród czarcie miotły, gdzie diabeł licho kusi;metal
Liścik od mamusi spisany atramentem płodu;metal
Chciałbym do nich wrócić, ale już nie mam domu;metal
Więc w lesie po kryjomu nie szczędzę mu pokłonów;metal
O mój Królu Gonu, dzięki ci za twe gałęzie;metal
Wierzby, nie płaczcie! Moczary nowym domem;metal
Kolejną Noc Walpurgi obejdę ze spokojem w duszy;metal
Mój Boże, mój Diable, patrz tam gdzie ciemno;metal
Król Olch ma córki, chcą bawić się ze mną;metal
Leśny Pan, co go wrony skubią w skrzydła;metal
Odpowie mi dziś echem i za swoje córy wyda;metal
Mgła kołysze ciało snując się po kościach;metal
Ze zgniłego bluszczu przyszykowana chłosta;metal
Pod wisielcze żebra wchodzi jak w zarośla;metal
Drobna trędowata postać, co ma kształt Porońca;metal
Z moczar wypełzają smutki o szponach gargulców;metal
Czarne palce chwytają jak prądy czarcich nurtów;metal
W imię pradawnego kultu rozbrzmiewają pieśni;metal
Dla tych, którzy poślubili Śmierć w imię Bestii;metal
W opętańczym szale odprawiają krwawe modły;metal
By przywitać pomiot leśnych pnączy godny;metal
A wilgotny wizerunek marnego człowieka;metal
Żegnają ze skrzekiem zamykanego wieka;metal
Trup na nic już nie czeka, stał się jednym z nich;metal
Już nie zazna krzywd kompatybilnych z egzystencją;metal
Nie spotkasz go w mogile, gdzie truchła szepczą;metal
Ale w odbiciu tafli karmionej twą pamięcią;metal
Mój Boże, mój Diable, patrz tam gdzie ciemno;metal
Król Olch ma córki, chcą bawić się ze mną;metal
Leśny Pan, co go wrony skubią w skrzydła;metal
